Designator,Mid X,Mid Y,Rotation,Layer
C1,19.9440,18.6328,0.00,Top
C2,12.7254,11.5570,90.00,Top
C3,12.6365,9.5250,-90.00,Top
C4,14.6720,13.3835,180.00,Top
C5,29.0068,13.3731,-90.00,Top
C6,28.5750,11.1760,180.00,Top
C7,28.3210,9.0805,180.00,Top
C8,28.3210,8.1915,0.00,Top
C9,14.0970,8.4455,180.00,Top
C10,23.0582,18.9788,180.00,Top
C11,12.7000,4.4450,90.00,Top
C12,23.0505,17.6530,180.00,Top
C13,27.4955,7.3025,0.00,Top
C14,16.7640,10.2870,180.00,Top
C15,17.4625,12.8270,90.00,Top
C16,41.6560,17.2720,0.00,Top
C17,28.2575,10.2870,0.00,Top
C18,16.7640,9.3980,0.00,Top
C19,38.1000,10.9220,-90.00,Top
C20,10.2235,12.1285,180.00,Top
C21,42.0370,8.1280,180.00,Top
C22,41.9100,3.6830,180.00,Top
CHG0,1.9050,5.3975,-90.00,Top
CHG_EN0,11.6840,10.6680,90.00,Bottom
CONN1,33.0835,16.3195,-90.00,Top
D3,20.2565,4.1910,0.00,Top
D4,5.7150,20.1295,90.00,Top
D+1,1.4605,10.2235,180.00,Bottom
D-1,1.3970,12.8270,180.00,Bottom
FB1,42.1640,5.0800,0.00,Top
FB2,42.1640,6.7310,0.00,Top
GAIN0,37.4015,7.8105,0.00,Bottom
IC1,22.2885,10.1600,-90.00,Top
IC2,41.1480,18.7325,-90.00,Top
IC4,37.0840,15.6210,-90.00,Top
JP1,25.4000,1.2700,180.00,Top
JP3,30.4800,21.6535,0.00,Top
L0,1.8195,17.4225,90.00,Top
LED1,27.7495,5.0292,180.00,Top
OUTPUTS0,46.9900,11.4300,-90.00,Top
PLABEL0,16.0655,7.3660,0.00,Top
PLABEL1,9.7790,7.3660,0.00,Top
PLABEL2,3.7973,5.7658,90.00,Top
PLABEL3,3.5433,17.2593,90.00,Top
PLABEL4,6.3500,2.7940,0.00,Top
PLABEL5,13.9700,2.7940,0.00,Top
PLABEL6,16.5100,2.7940,0.00,Top
PLABEL7,19.0500,2.7940,0.00,Top
PLABEL8,21.5900,2.7940,0.00,Top
PLABEL9,24.1300,2.7940,0.00,Top
PLABEL10,26.6700,2.7940,0.00,Top
PLABEL11,29.2100,2.7940,0.00,Top
PLABEL12,27.5590,20.4470,0.00,Top
PLABEL13,24.1300,20.1930,0.00,Top
PLABEL14,21.5900,20.1930,0.00,Top
