Comment,Designator,Footprint,LCSC Part #
,ANT0,Adafruit Feather 32u4 RFMxx-import-fps:1X01_ROUND,C7501259
,JP4,Adafruit Feather 32u4 RFMxx-import-fps:1X02_ROUND,C492401
,JP3,Adafruit Feather 32u4 RFMxx-import-fps:1X12_ROUND,C7501588
,JP1,Adafruit Feather 32u4 RFMxx-import-fps:1X16_ROUND,C7501270
,U$7,Adafruit Feather 32u4 RFMxx-import-fps:ADAFRUIT_3.5MM,
,U$4,Adafruit Feather 32u4 RFMxx-import-fps:ADAFRUIT_5MM,
,U$5,Adafruit Feather 32u4 RFMxx-import-fps:FEATHERLOGO,
,U$6,Adafruit Feather 32u4 RFMxx-import-fps:PCBFEAT-REV-040,
,U4,Adafruit Feather 32u4 RFMxx-import-fps:RFMHCW_SMT,
100k,"R1,R3,R9",Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C25803
100K,R6,Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C25803
10K\,R8,Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C98220
10uF,C1,Adafruit Feather 32u4 RFMxx-import-fps:0805-NO,
10µF,"C3,C6,C8",Adafruit Feather 32u4 RFMxx-import-fps:0805-NO,
1K,R2,Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C2907002
1uF,"C7,C14",Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C5673
1uF,C9,Adafruit Feather 32u4 RFMxx-import-fps:_0603MP,C5673
2.2K,R7,Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C4190
22,"R4,R5",Adafruit Feather 32u4 RFMxx-import-fps:0603-NO,C23345
8MHz,Y1,Adafruit Feather 32u4 RFMxx-import-fps:RESONATOR-SMD,
AP2112-3.3,U2,Adafruit Feather 32u4 RFMxx-import-fps:SOT23-5,
ATMEGA32U4-MU,IC1,Adafruit Feather 32u4 RFMxx-import-fps:TQFN44_7MM,
"FIDUCIAL""""","U$34,U$35",Adafruit Feather 32u4 RFMxx-import-fps:FIDUCIAL_1MM,
JSTPH,X1,Adafruit Feather 32u4 RFMxx-import-fps:JSTPH2,
MBR120,D4,Adafruit Feather 32u4 RFMxx-import-fps:SOD-123,
MCP73831T-2ACI/OT,U3,Adafruit Feather 32u4 RFMxx-import-fps:SOT23-5,
microUSB,X3,Adafruit Feather 32u4 RFMxx-import-fps:4UCONN_20329_V2,
ORANGE,CHG0,Adafruit Feather 32u4 RFMxx-import-fps:CHIPLED_0805_NOOUTLINE,
RED,L0,Adafruit Feather 32u4 RFMxx-import-fps:CHIPLED_0805_NOOUTLINE,
SPST_TACT-KMR2,SW1,Adafruit Feather 32u4 RFMxx-import-fps:KMR2,
uFL,X2,Adafruit Feather 32u4 RFMxx-import-fps:U.FL,
